"Millis","P1","P2"
117568,644,686
117670,644,686
117771,643,686
117872,643,686
117973,644,686
118074,644,686
118176,643,686
118277,643,686
118378,643,686
118480,643,686
118580,643,686
118682,643,686
118783,644,686
118884,644,686
118986,644,686
119087,643,686
119187,643,686
119289,643,686
119390,643,686
119492,644,686
119593,644,686
119694,643,686
119796,643,686
119896,644,686
119997,653,686
120099,672,686
120200,668,686
120301,578,686
120403,296,686
120503,66,686
120605,3,686
120706,0,686
120807,1,686
120909,1,686
121010,0,686
121111,1,686
121212,1,686
121313,1,686
121415,1,686
121516,1,686
121617,1,686
121719,1,686
121819,1,686
121920,1,686
122022,1,686
122123,1,686
122225,1,686
122326,0,686
122427,1,686
122528,11,686
122629,68,686
122730,138,686
122832,217,686
122933,310,686
123035,486,686
123135,656,686
123236,710,686
123338,713,686
123439,713,686
123540,712,686
123642,713,686
123742,713,686
123844,713,686
123945,713,686
124046,713,686
124148,712,686
124249,713,686
124350,713,686
124451,713,686
124552,713,686
124653,713,686
124755,713,686
124856,713,686
124958,713,686
125058,713,686
125159,713,686
125261,713,686
125362,713,686
125463,713,686
125565,713,686
125665,713,686
125767,712,686
125868,713,686
125969,713,686
126071,713,686
126172,713,686
126272,713,686
126374,712,686
126475,713,686
126577,713,686
126678,713,686
126779,713,686
126881,713,686
126981,713,689
127082,713,695
127184,713,691
127285,713,677
127387,713,680
127488,713,682
127588,713,682
127690,713,682
127791,713,682
127892,713,682
127994,713,682
128095,713,682
128196,713,682
128297,713,682
128398,713,682
128500,713,682
128601,713,682
128702,713,682
128804,713,682
128904,713,682
129005,713,682
129107,713,682
129208,713,682
129310,713,682
129411,713,682
129511,713,682
129613,713,682
129714,713,682
129815,713,682
129917,713,682
130018,713,682
130119,713,682
130220,713,682
130321,713,682
130423,713,682
130524,713,682
130625,713,682
130727,713,682
130827,713,682
130929,713,682
131030,713,682
131131,713,682
131233,713,682
131334,713,682
131434,713,682
131536,713,682
131637,713,682
131739,713,684
131840,713,683
131941,713,682
132042,713,683
132143,713,687
132244,713,693
132346,713,696
132447,713,697
132549,713,708
132649,713,691
132750,713,675
132852,713,677
132953,713,677
133054,713,677
133156,713,677
133256,713,677
133357,713,677
133459,713,677
133560,713,677
133662,713,677
133763,713,677
133864,713,677
133965,713,677
134066,713,677
134167,713,677
134269,713,677
134370,713,677
134472,713,677
134572,713,677
134673,713,677
134775,713,677
134876,713,677
134977,713,677
135079,713,677
135179,713,677
135281,713,677
135382,713,677
135483,713,677
135585,713,677
135686,713,677
135786,713,677
135888,713,677
135989,713,677
136091,713,677
136192,713,677
136293,713,677
136395,713,677
136495,713,677
136596,713,677
136698,713,677
136799,713,677
136901,713,677
137002,713,677
137102,713,677
137204,713,677
137305,713,679
137406,713,682
137508,713,686
137609,713,703
137711,713,730
137811,713,738
137912,713,747
138014,713,777
138115,713,769
138216,713,727
138318,713,691
138418,713,677
138519,713,674
138621,713,673
138722,713,673
138824,713,673
138925,713,673
139025,713,673
139127,713,673
139228,713,673
139329,713,673
139431,713,673
139532,713,673
139634,713,673
139734,713,673
139835,713,673
139937,713,673
140038,713,673
140139,713,673
140241,713,673
140341,713,673
140443,713,673
140544,713,673
140645,713,673
140747,713,673
140848,713,673
140948,713,673
141050,713,673
141151,713,673
141253,713,673
141354,713,673
141455,713,674
141557,713,673
141657,713,673
141758,713,673
141860,713,673
141961,713,673
142063,713,673
142164,713,673
142264,713,673
142366,713,673
142467,713,673
142568,713,673
142670,713,673
142771,713,673
142871,713,673
142973,713,673
143074,713,673
143176,713,673
143277,713,673
143378,713,673
143479,713,673
143580,713,673
143681,713,674
143783,713,674
143884,713,673
143986,713,673
144087,713,673
144187,713,673
144289,713,673
144390,713,673
144491,713,673
144593,713,673
144694,713,673
144795,713,673
144896,713,673
144997,713,673
145099,713,674
145200,713,673
145301,713,673
145402,713,674
145503,713,675
145605,713,679
145706,713,678
145807,713,674
145909,713,674
146009,713,680
146110,713,700
146212,713,727
146313,713,732
146415,713,725
146516,713,698
146617,713,676
146718,713,671
146819,713,670
146920,713,669
147022,713,669
147123,713,669
147225,713,669
147325,713,669
147426,713,669
147528,713,669
147629,713,669
147730,713,669
147832,713,669
147932,713,669
148033,713,669
148135,713,669
148236,713,669
148338,713,669
148439,713,669
148540,713,669
148641,713,669
148742,713,669
148843,713,669
148945,713,669
149046,713,669
149148,713,670
149248,713,669
149349,713,669
149451,713,669
149552,713,669
149653,713,669
149755,713,669
149855,713,669
149957,713,669
150058,713,669
150159,713,669
150261,713,669
150362,713,670
150463,713,670
150564,713,670
150665,713,670
150767,713,669
150868,713,669
150969,713,670
151071,713,672
151171,713,679
151272,713,678
151374,713,676
151475,713,666
151577,713,663
151678,713,665
151778,713,665
151880,713,665
151981,713,665
152082,713,666
152184,713,665
152285,713,665
152385,713,665
152487,713,665
152588,713,665
152690,713,665
152791,713,665
152892,713,665
152994,713,665
153094,713,665
153195,713,665
153297,713,665
153398,713,665
153500,713,666
153601,713,665
153701,713,665
153803,713,665
153904,713,665
154005,713,665
154107,713,665
154208,713,665
154309,713,665
154410,713,665
154511,713,665
154613,713,665
154714,713,665
154815,713,665
154916,713,665
155017,713,665
155119,713,665
155220,713,665
155321,713,665
155423,713,665
155524,713,665
155624,713,665
155726,713,666
155827,713,666
155929,713,665
156030,713,665
156131,713,665
156232,713,665
156333,713,665
156434,713,665
156536,713,665
156637,713,665
156738,713,665
156839,713,665
156940,713,665
157042,713,665
157143,713,665
157244,713,665
157346,713,665
157446,713,665
157547,713,665
157649,713,665
157750,713,665
157852,713,665
157953,713,665
158053,713,665
158155,713,665
158256,713,665
158357,713,665
158459,713,665
158560,713,665
158662,713,665
158762,713,665
158863,713,666
158965,713,669
159066,713,671
159167,713,656
159269,713,656
159369,713,661
159471,713,661
159572,713,661
159673,713,661
159775,713,661
159876,713,661
159976,713,661
160078,713,661
160179,713,661
160281,713,661
160382,713,661
160483,713,661
160584,713,661
160685,713,661
160786,713,661
160888,713,661
160989,713,661
161090,713,661
161192,713,661
161292,713,661
161394,713,661
161495,713,661
161596,713,661
161698,713,661
161799,713,661
161899,713,661
162001,713,661
162102,713,661
162204,713,661
162305,713,661
162406,713,661
162507,713,661
162608,713,661
162709,713,661
162811,713,661
162912,713,661
163014,713,661
163115,713,661
163215,713,661
163317,713,661
163418,713,661
163519,713,661
163621,713,661
163722,713,661
163823,713,661
163924,713,661
164025,713,661
164127,713,661
164228,713,661
164329,713,661
164430,713,661
164531,713,662
164633,713,663
164734,713,669
164835,713,655
164937,713,511
165038,713,238
165138,713,51
165240,713,2
165341,713,0
165442,713,0
165544,713,0
165645,713,0
165746,713,0
165847,713,0
165948,713,0
166050,713,0
166151,713,0
166252,713,0
166353,713,0
166454,713,0
166556,713,0
166657,713,0
166758,713,0
166860,713,0
166960,713,0
167061,713,0
167163,713,0
167264,713,0
167366,713,0
167467,713,0
167568,713,0
167669,713,0
167770,713,0
167871,713,0
167973,713,0
168074,713,0
168176,713,0
168276,713,0
168377,713,0
